timestamp,cam,event,class,conf,box,track_id,image,clip
2025-11-13T17:21:38.668486,0,detect,person,0.893,"[0, 152, 474, 479]",0,,
2025-11-13T17:21:38.760996,0,detect,person,0.767,"[0, 156, 472, 479]",0,,
2025-11-13T17:21:38.855690,0,detect,person,0.854,"[0, 158, 485, 479]",0,,
2025-11-13T17:21:38.942911,0,detect,person,0.64,"[13, 160, 486, 479]",0,,
2025-11-13T17:21:39.045830,0,detect,person,0.877,"[71, 157, 490, 479]",0,,
2025-11-13T17:21:39.143483,0,detect,person,0.88,"[96, 155, 505, 479]",0,,
2025-11-13T17:21:39.240057,0,detect,person,0.88,"[104, 154, 510, 479]",0,,
2025-11-13T17:21:39.348993,0,detect,person,0.875,"[111, 153, 516, 479]",0,,
2025-11-13T17:21:39.433646,0,detect,person,0.906,"[112, 149, 527, 479]",0,,
2025-11-13T17:21:39.510959,0,detect,person,0.899,"[116, 146, 532, 479]",0,,
2025-11-13T17:21:39.590110,0,detect,person,0.921,"[118, 145, 534, 479]",0,,
2025-11-13T17:21:39.675682,0,detect,person,0.91,"[118, 144, 537, 479]",0,,
2025-11-13T17:21:39.806966,0,detect,person,0.91,"[121, 144, 537, 479]",0,,
2025-11-13T17:21:39.913236,0,detect,person,0.906,"[122, 145, 538, 479]",0,,
2025-11-13T17:21:40.007477,0,detect,person,0.916,"[116, 144, 533, 479]",0,,
2025-11-13T17:21:40.100798,0,detect,person,0.91,"[120, 145, 534, 479]",0,,
2025-11-13T17:21:40.223504,0,detect,person,0.913,"[123, 146, 536, 479]",0,,
2025-11-13T17:21:40.342139,0,detect,person,0.916,"[123, 146, 535, 479]",0,,
2025-11-13T17:21:40.444355,0,detect,person,0.905,"[117, 144, 532, 479]",0,,
2025-11-13T17:21:40.545570,0,detect,person,0.911,"[125, 144, 534, 479]",0,,
2025-11-13T17:21:40.644106,0,detect,person,0.902,"[123, 146, 531, 479]",0,,
2025-11-13T17:21:40.879686,0,detect,person,0.906,"[121, 146, 534, 479]",0,,
2025-11-13T17:21:40.984355,0,detect,person,0.916,"[123, 149, 530, 479]",0,,
2025-11-13T17:21:41.097306,0,detect,person,0.916,"[122, 148, 533, 479]",0,,
2025-11-13T17:21:41.210138,0,detect,person,0.913,"[123, 148, 531, 479]",0,,
2025-11-13T17:21:41.320038,0,detect,person,0.919,"[124, 149, 532, 479]",0,,
2025-11-13T17:21:41.428824,0,detect,person,0.916,"[124, 150, 531, 479]",0,,
2025-11-13T17:21:41.544686,0,detect,person,0.906,"[122, 150, 531, 479]",0,,
2025-11-13T17:21:41.648865,0,detect,person,0.91,"[124, 150, 531, 479]",0,,
2025-11-13T17:21:41.753367,0,detect,person,0.92,"[125, 150, 532, 479]",0,,
2025-11-13T17:21:41.878876,0,detect,person,0.905,"[123, 150, 531, 479]",0,,
2025-11-13T17:21:41.991466,0,detect,person,0.912,"[124, 150, 530, 479]",0,,
2025-11-13T17:21:42.101589,0,detect,person,0.901,"[126, 152, 530, 479]",0,,
